   10000      1    6.1390e+02     1
   1:   1.0000e+00   370140 1.6404e+07   B 
  380130  Al 38    7.6000e-03     2
   1:   5.0000e-01   380140 2.0380e+07   B 
   2:   5.0000e-01   370140 1.4559e+07   B  N 
  390130  Al 39    7.6000e-06     2
   1:   5.0000e-01   390140 1.8676e+07   B 
   2:   5.0000e-01   380140 1.7095e+07   B  N 
  400130  Al 40    2.6000e-07     2
   1:   5.0000e-01   400140 2.2543e+07   B 
   2:   5.0000e-01   390140 1.9296e+07   B  N 
  410130  Al 41    2.6000e-07     1
   1:   1.0000e+00   410140 2.1768e+07   B 
  420130  Al 42    1.7000e-07     2
   1:   5.0000e-01   420140 2.4890e+07   B 
   2:   5.0000e-01   410140 2.2044e+07   B  N 
  220140  Si 22    2.9000e-02     2
   1:   6.8000e-01   220130 1.4801e+07   EC
   2:   3.2000e-01   210120 1.3965e+07   EC P 
  230140  Si 23    4.2300e-02     3
   1:   2.3000e-01   230130 1.7002e+07   EC
   2:   7.3000e-01   220120 1.6880e+07   EC P 
   3:   4.0000e-02   210110 1.1376e+07   EC P  P 
  240140  Si 24    1.4000e-01     2
   1:   6.2000e-01   240130 1.0804e+07   EC
   2:   3.8000e-01   230120 8.9395e+06   EC P 
  250140  Si 25    2.2000e-01     2
   1:   6.5000e-01   250130 1.2743e+07   EC
   2:   3.5000e-01   240120 1.0471e+07   EC P 
  260140  Si 26    2.2340e+00     2
   1:   3.9440e-04   260130 5.0660e+06   EC
   2:   9.9961e-01   260131 4.8377e+06   EC
  270140  Si 27    4.1600e+00     1
   1:   1.0000e+00   270130 4.8124e+06   EC
  280140  Si 28      STABLE       0
  290140  Si 29      STABLE       0
  300140  Si 30      STABLE       0
  310140  Si 31    9.4380e+03     1
   1:   1.0000e+00   310150 1.4915e+06   B 
  320140  Si 32    4.8283e+09     1
   1:   1.0000e+00   320150 2.2393e+05   B 
  330140  Si 33    6.1100e+00     1
   1:   1.0000e+00   330150 5.8450e+06   B 
  340140  Si 34    2.7700e+00     1
   1:   1.0000e+00   340150 4.5919e+06   B 
  350140  Si 35    7.8000e-01     1
   1:   1.0000e+00   350150 1.0500e+07   B 
  360140  Si 36    4.5000e-01     2
   1:   9.0000e-01   360150 7.8334e+06   B 
   2:   1.0000e-01   350150 4.3688e+06   B  N 
  370140  Si 37    9.0000e-02     2
   1:   8.3000e-01   370150 1.2402e+07   B 
   2:   1.7000e-01   360150 5.5997e+06   B  N 
  380140  Si 38    1.0000e-06     2
   1:   5.0000e-01   380150 1.0472e+07   B 
   2:   5.0000e-01   370150 6.8556e+06   B  N 
  390140  Si 39    4.7500e-02     2
   1:   5.0000e-01   390150 1.5116e+07   B 
   2:   5.0000e-01   380150 8.6147e+06   B  N 
  400140  Si 40    3.3000e-02     2
   1:   5.0000e-01   400150 1.3504e+07   B 
   2:   5.0000e-01   390150 1.0269e+07   B  N 
  410140  Si 41    2.0000e-02     1
   1:   1.0000e+00   410150 1.7099e+07   B 
  420140  Si 42    1.2500e-02     1
   1:   1.0000e+00   420150 1.5552e+07   B 
  430140  Si 43    6.0000e-08     2
   1:   5.0000e-01   430150 1.8421e+07   B 
   2:   5.0000e-01   420150 1.7686e+07   B  N 
  440140  Si 44    3.6000e-07     2
   1:   5.0000e-01   430150 1.9007e+07   B  N 
   2:   5.0000e-01   440150 1.8071e+07   B 
  240150   P 24    7.4000e-03     2
   1:   5.0000e-01   240140 2.2071e+07   EC
   2:   5.0000e-01   230140 2.4640e+06   P 
  250150   P 25    3.0000e-08     1
   1:   1.0000e+00   240140 1.6950e+06   P 
  260150   P 26    4.3700e-02     1
   1:   1.0000e+00   260140 1.8114e+07   EC
  270150   P 27    2.6000e-01     2
   1:   9.9930e-01   270140 1.1669e+07   EC
   2:   7.0000e-04   260130 4.2043e+06   EC P 
  280150   P 28    2.7030e-01     3
   1:   9.9998e-01   280140 1.4344e+07   EC
   2:   8.6000e-06   240120 4.3499e+06   EC A 
   3:   1.3000e-05   270130 2.7489e+00   EC P 
  290150   P 29    4.1420e+00     1
   1:   1.0000e+00   290140 4.9431e+06   EC
  300150   P 30    1.4988e+02     1
   1:   1.0000e+00   300140 4.2324e+06   EC
  310150   P 31      STABLE       0
  320150   P 32    1.2323e+06     1
   1:   1.0000e+00   320160 1.7105e+06   B 
  330150   P 33    2.1894e+06     1
   1:   1.0000e+00   330160 2.4850e+05   B 
  340150   P 34    1.2430e+01     1
   1:   1.0000e+00   340160 5.3740e+06   B 
  350150   P 35    4.7300e+01     1
   1:   1.0000e+00   350160 3.9884e+06   B 
  360150   P 36    5.6000e+00     1
   1:   1.0000e+00   360160 1.0413e+07   B 
  370150   P 37    2.3100e+00     1
   1:   1.0000e+00   370160 7.9005e+06   B 
  380150   P 38    6.4000e-01     2
   1:   8.8000e-01   380160 1.2218e+07   B 
   2:   1.2000e-01   370160 4.1823e+06   B  N 
  390150   P 39    2.8000e-01     2
   1:   7.4000e-01   390160 1.0367e+07   B 
   2:   2.6000e-01   380160 5.9161e+06   B  N 
  400150   P 40    1.2500e-01     2
   1:   8.4200e-01   400160 1.4856e+07   B 
   2:   1.5800e-01   390160 6.9841e+06   B  N 
  410150   P 41    1.0000e-01     2
   1:   7.0000e-01   410160 1.4109e+07   B 
   2:   3.0000e-01   400160 9.5187e+06   B  N 
  420150   P 42    4.8500e-02     2
   1:   5.0000e-01   420160 1.8687e+07   B 
   2:   5.0000e-01   410160 1.1887e+07   B  N 
  430150   P 43    3.6500e-02     1
   1:   1.0000e+00   420160 1.5372e+07   B  N 
  440150   P 44    1.8500e-02     2
   1:   5.0000e-01   440160 1.9542e+07   B 
   2:   5.0000e-01   430160 1.5994e+07   B  N 
  450150   P 45    2.0000e-07     1
   1:   1.0000e+00   450160 1.9313e+07   B 
  460150   P 46    2.0000e-07     1
   1:   1.0000e+00   460160 2.2747e+07   B 
  260160   S 26    1.0000e-02     1
   1:   1.0000e+00   240140 6.3700e+05   P  P 
  270160   S 27    1.5500e-02     3
   1:   9.6600e-01   270150 1.8260e+07   EC
   2:   2.3000e-02   260140 1.7399e+07   EC P 
   3:   1.1000e-02   250130 1.1878e+07   EC P  P 
  280160   S 28    1.2500e-01     2
   1:   7.9300e-01   280150 1.1222e+07   EC
   2:   2.0700e-01   270140 9.1685e+06   EC P 
  290160   S 29    1.8700e-01     2
   1:   5.3000e-01   290150 1.3796e+07   EC
   2:   4.7000e-01   280140 1.1044e+07   EC P 
  300160   S 30    1.1780e+00     1
   1:   1.0000e+00   300150 6.1380e+06   EC
  310160   S 31    2.5720e+00     1
   1:   1.0000e+00   310150 5.3961e+06   EC
  320160   S 32      STABLE       0
  330160   S 33      STABLE       0
  340160   S 34      STABLE       0
  350160   S 35    7.5609e+06     1
   1:   1.0000e+00   350170 1.6724e+05   B 
