  470230   V 47    1.9560e+03     1
   1:   1.0000e+00   470220 2.9306e+06   EC
  480230   V 48    1.3801e+06     1
   1:   1.0000e+00   480220 4.0150e+06   EC
  490230   V 49    2.8500e+07     1
   1:   1.0000e+00   490220 6.0186e+05   EC
  500230   V 50    4.4000e+24     2
   1:   1.7000e-01   500240 1.0378e+06   B 
   2:   8.3000e-01   500220 2.2068e+06   EC
       0      0      STABLE       0
  520230   V 52    2.2460e+02     1
   1:   1.0000e+00   520240 3.9745e+06   B 
  530230   V 53    9.2600e+01     1
   1:   1.0000e+00   530240 3.4359e+06   B 
  540230   V 54    4.9800e+01     1
   1:   1.0000e+00   540240 7.0416e+06   B 
  550230   V 55    6.5400e+00     1
   1:   1.0000e+00   550240 5.9650e+06   B 
  570230   V 57    3.5000e-01     1
   1:   1.0000e+00   570240 8.2958e+06   B 
  660230   V 66    9.9900e-03     1
   1:   1.0000e+00   660240 1.8928e+07   B 
  460240  Cr 46    2.6000e-01     1
   1:   1.0000e+00   460230 7.6011e+06   EC
  470240  Cr 47    5.0000e-01     1
   1:   1.0000e+00   470230 7.4449e+06   EC
  480240  Cr 48    7.7620e+04     1
   1:   1.0000e+00   480230 1.6551e+06   EC
  490240  Cr 49    2.5380e+03     1
   1:   1.0000e+00   490230 2.6283e+06   EC
  500240  Cr 50    4.1000e+25     1
   1:   1.0000e+00   500220 1.1690e+06   EC EC
  510240  Cr 51    2.3934e+06     1
   1:   1.0000e+00   510230 7.5263e+05   EC
       0      0      STABLE       0
       0      0      STABLE       0
       0      0      STABLE       0
  550240  Cr 55    2.0982e+02     1
   1:   1.0000e+00   550250 2.6031e+06   B 
  560240  Cr 56    3.5600e+02     1
   1:   1.0000e+00   560250 1.6296e+06   B 
  570240  Cr 57    2.1100e+01     1
   1:   1.0000e+00   570250 4.9620e+06   B 
  580240  Cr 58    7.0000e+00     1
   1:   1.0000e+00   580250 3.9928e+06   B 
  660240  Cr 66    1.0000e-02     1
   1:   1.0000e+00   660250 1.2215e+07   B 
  670240  Cr 67    3.1120e-02     1
   1:   1.0000e+00   670250 1.4829e+07   B 
  680240  Cr 68    1.7230e-02     1
   1:   1.0000e+00   680250 1.3423e+07   B 
  690240  Cr 69    1.1570e-02     1
   1:   1.0000e+00   690250 1.4516e+07   B 
  700240  Cr 70    7.1430e-03     1
   1:   1.0000e+00   700250 1.3117e+07   B 
  480250  Mn 48    1.5810e-01     2
   1:   7.2000e-01   480240 1.3498e+07   EC
   2:   2.8000e-01   470230 5.3934e+06   EC P 
